catalogue_no,standard_id,is_number,title,catalogue_year,pdf_found,pdf_filename,pdf_year,status,relative_pdf_path,notes
1,IS1000,1000,Edible lactose - Specification (first revision),2021,False,,,PENDING,,
2,IS1165,1165,Whole milk powder - Specification (sixth revision),2022,False,,,PENDING,,
3,IS1166,1166,"Sweetened condensed milk, sweetened condensed partly skimmed milk, sweetened condensed skimmed milk and sweetened condensed high fat milk - Specification (third revision)",2022,False,,,PENDING,,
4,IS1167,1167,Edible casein products - Specification (first revision),2021,False,,,PENDING,,
5,IS1224_P1,1224,Determination of fat by the Gerber method Part 1 Milk (first revision),1977,False,,,PENDING,,
6,IS1224_P2,1224,Determination of fat by the Gerber method Part 2 Milk products (first revision),1977,False,,,PENDING,,
7,IS1479_P1,1479,Methods of test for dairy industry Part 1 Rapid examination of milk (first revision),2016,False,,,PENDING,,
8,IS1479_P2,1479,Methods of test for dairy industry Part 2 Chemical analysis of milk,1961,False,,,PENDING,,
9,IS1479_P3,1479,Methods of test for dairy industry Part 3 Bacteriological analysis of milk (first revision),1977,False,,,PENDING,,
10,IS1479_P4,1479,Method of test for dairy industry Part 4 milk - Determination of freezing : 2009 point Thermistor cryoscope method (Reference method) (third revision),2018,False,,,PENDING,,
11,IS1479_P5,1479,Methods of test for dairy industry Part 5 Methods of dairy plant control,1962,False,,,PENDING,,
12,IS1656,1656,Infant food - Milk-Cereal based complementary foods - Specification (fifth revision),2022,False,,,PENDING,,
13,IS1806,1806,Malted milk foods - Specification (second revision),2018,False,,,PENDING,,
14,IS2785,2785,Cheese - Specification (second revision),2022,False,,,PENDING,,
15,IS2802,2802,Ice cream and Kulfi - Specification (first revision),2022,False,,,PENDING,,
16,IS2981,2981,Layout plan for dairy laboratories,1964,False,,,PENDING,,
17,IS3507,3507,Methods of sampling and test for butter,1966,False,,,PENDING,,
18,IS3508,3508,Methods of sampling and test for ghee/ butterfat,1966,False,,,PENDING,,
19,IS3509,3509,Method of sampling and test for cream,1966,False,,,PENDING,,
20,IS3864,3864,Specification for mobile kit for milk testing,1966,False,,,PENDING,,
21,IS4079,4079,Packed Rasogolla - Specification (first revision),2023,False,,,PENDING,,
22,IS4238,4238,Sterilized and ultra high temperature sterilized milk - Specification (first revision),2020,False,,,PENDING,,
23,IS4709,4709,Flavoured milk - Specification (first revision),2021,False,,,PENDING,,
24,IS4883,4883,Khoa - Specification (second revision),2023,False,,,PENDING,,
25,IS4884,4884,Sterilized/UHT sterilized cream - Specification (first revision),2021,False,,,PENDING,,
26,IS5162,5162,Chhana - Specification (second revision),2021,False,,,PENDING,,
27,IS5550,5550,Burfi - Specification (first revision),2023,False,,,PENDING,,
28,IS5839,5839,Food hygiene - Code of practice for manufacture storage and sale of ice cream (first revision),2000,False,,,PENDING,,
29,IS7005,7005,"Code for hygienic conditions for production and processing, transportation and distribution of milk",1973,False,,,PENDING,,
30,IS7607_P1,7607,Code of practice for keeping dairy accounts Part 1 Primary milk collection units,1975,False,,,PENDING,,
31,IS7607_P2,7607,Code of practice for keeping dairy accounts Part 2 Market milk plants,1975,False,,,PENDING,,
32,IS7607_P3,7607,Code of practice for keeping dairy accounts Part 3 Product plants,1975,False,,,PENDING,,
33,IS7768,7768,Method for sensory evaluation of milk,1975,False,,,PENDING,,
34,IS7769,7769,Method for sensory evaluation of table butter,1975,False,,,PENDING,,
35,IS7770,7770,Method for sensory evaluation of ghee/ clarified butterfat,1975,False,,,PENDING,,
36,IS7839,7839,Dried ice-cream mix - Specification (first revision),2022,False,,,PENDING,,
37,IS8479_P1,8479,Method for determination of phosphatase activity in milk and milk products Part 1 Routine method,1977,False,,,PENDING,,
38,IS8479_P2,8479,Milk - Determination of alkaline phosphatase Part 2 Reference method : 2009 (first revision),2020,False,,,PENDING,,
39,IS9070,9070,Method for determination of fat in cheese by van gulik method,1979,False,,,PENDING,,
40,IS9532,9532,Chakka and Shrikhand - Specification (first revision),2023,False,,,PENDING,,
41,IS9584,9584,Cheese powder - Specification (first revision),2022,False,,,PENDING,,
42,IS9617,9617,Dahi- Specification (first revision),2023,False,,,PENDING,,
43,IS9967_P1,9967,Milk and milk products - Determination of nitrate and nitrite contents :2004 Part 1 Method using cadmium reduction and spectrometry (second revision),2008,False,,,PENDING,,
44,IS9967_P2,9967,Milk and milk products Determination of nitrate and nitrite contents Part 2 Method using segmented flow analysis (Routine method) (second revision),2008,False,,,PENDING,,
45,IS9967_P3,9967,Milk and milk products - Determination of nitrate and nitrite contents Part 3 Method using cadmium reduction and flow injection analysis with in-line dialysis (Routine method) (second revision),2008,False,,,PENDING,,
46,IS10029,10029,Method for sensory evaluation of sweetened condensed milk,1981,False,,,PENDING,,
47,IS10030,10030,Method for sensory evaluation of milk powder,1981,False,,,PENDING,,
48,IS10083,10083,Method of test for determination of SNF (solids-not-fat) in milk by the use of the lactometer,1982,False,,,PENDING,,
49,IS10281,10281,Method for sensory evaluation of processed cheese,1982,False,,,PENDING,,
51,IS10974_P1,10974,Code for hygienic conditions for production transport storage and distribution of milk products Part 1 Khoa and Khoa based sweets,1984,False,,,PENDING,,
52,IS10974_P2,10974,Code for hygienic conditions for production transport storage and distribution of milk products Part 2 Dahi,1984,False,,,PENDING,,
53,IS10974_P3,10974,Code for hygienic conditions for production transport storage and distribution of milk products Part 3 Coagulated products Chhana and Chhana based sweetmeats,1984,False,,,PENDING,,
54,IS10974_P4,10974,Code for hygienic conditions for production transport storage and distribution of milk products Part 4 Frozen products,1984,False,,,PENDING,,
55,IS10974_P5,10974,Code for hygienic conditions for production transport storage and distribution of indigenous milk products Part 5 Fermented products Shrikhand,1984,False,,,PENDING,,
56,IS11202,11202,Dried milk - Determination of content of lactic acid and lactates (second : 2005 revision),2012,False,,,PENDING,,
57,IS11546,11546,Milk and milk products - Guidance on sampling (second revision) : 2008,2012,False,,,PENDING,,
58,IS11602,11602,Packed Gulab Jamuns - Specification (first revision),2023,False,,,PENDING,,
59,IS11622,11622,Method for determination of total solids content in condensed milk,1986,False,,,PENDING,,
60,IS11623,11623,Dried milk - Determination of moisture content (Reference method) (first : 2004 revision),2008,False,,,PENDING,,
61,IS11721,11721,Dried milk and dried milk products - Determination of fat content - : 2008 Gravimetric method (Reference method) (second revision),2013,False,,,PENDING,,
62,IS11762,11762,Evaporated milk and sweetened condensed milk - Determination of fat : 2008 content - Gravimetric method (Reference method) (second revision),2013,False,,,PENDING,,
63,IS11763,11763,Cheese and processed cheese products - Determination of chloride : 2006 content - Potentiometric titration method (third revision),2011,False,,,PENDING,,
64,IS11764,11764,Sweetened condensed milk - Determination of sucrose content - : 2004 Polarimetric method (first revision),2005,False,,,PENDING,,
